Size(n),S,Key Comparisons,Time(ms),Time(s)
4090000,32,102157377,337.4002,0.33740020000000004
4100000,32,102496707,341.9219,0.3419219
4110000,32,102827511,340.2812,0.3402812
4120000,32,103182036,340.0303,0.3400303
4130000,32,103498917,343.17679999999996,0.3431768
4140000,32,103820713,344.25939999999997,0.34425940000000005
4150000,32,104158991,346.30289999999997,0.3463029
4160000,32,104498499,344.8293,0.3448293
4170000,32,104815586,351.2769,0.3512769
4180000,32,105129685,347.67679999999996,0.3476768
4190000,32,105485968,350.6488,0.35064880000000004
4200000,32,105217606,348.7538,0.3487538
4210000,32,104474137,356.4255,0.3564255
4220000,32,103723913,354.19129999999996,0.35419130000000004
4230000,32,102994689,360.4473,0.3604473
4240000,32,102233766,362.5559,0.36255590000000004
4250000,32,101494434,368.6017,0.36860170000000003
4260000,32,100746894,365.5713,0.36557130000000004
4270000,32,100024308,366.9334,0.3669334
4280000,32,99283965,365.6701,0.3656701
4290000,32,98556922,369.0693,0.36906930000000004
4300000,32,97805131,371.66499999999996,0.371665
4310000,32,97072020,375.3298,0.37532980000000005
4320000,32,96330702,383.25669999999997,0.3832567
4330000,32,96061205,373.67789999999997,0.3736779
4340000,32,96314268,380.5242,0.38052420000000003
4350000,32,96572883,375.5322,0.37553220000000004
4360000,32,96845438,382.00989999999996,0.3820099
4370000,32,97101303,385.07349999999997,0.3850735
4380000,32,97372244,393.15229999999997,0.3931523
4390000,32,97641796,391.09069999999997,0.3910907
4400000,32,97910167,383.7092,0.38370920000000003
4410000,32,98170177,387.0308,0.3870308
4420000,32,98432275,396.2528,0.3962528
4430000,32,98711259,385.7451,0.3857451
4440000,32,98975541,388.5395,0.38853950000000004
4450000,32,99231889,393.3288,0.39332880000000003
4460000,32,99494056,396.5306,0.3965306
4470000,32,99767615,389.48409999999996,0.3894841
4480000,32,100040710,391.94329999999997,0.39194330000000005
4490000,32,100307715,388.78049999999996,0.38878050000000003
4500000,32,100585149,391.20619999999997,0.3912062
4510000,32,100860484,397.29409999999996,0.39729410000000004
4520000,32,101113480,391.66429999999997,0.3916643
4530000,32,101399004,393.96099999999996,0.393961
4540000,32,101665977,393.72999999999996,0.39373
4550000,32,101936996,399.58349999999996,0.39958350000000004
4560000,32,102206119,395.51829999999995,0.39551830000000004
4570000,32,102472107,408.85139999999996,0.40885140000000003
4580000,32,102747850,396.9357,0.3969357
4590000,32,103025061,396.8413,0.3968413
4600000,32,103279274,399.57509999999996,0.3995751
4610000,32,103565881,403.57489999999996,0.4035749
4620000,32,103838388,400.849,0.400849
4630000,32,104088508,403.7469,0.4037469
4640000,32,104367118,402.6483,0.4026483
4650000,32,104648147,405.96659999999997,0.4059666
4660000,32,104915099,403.5852,0.40358520000000003
4670000,32,105186153,407.3046,0.4073046
4680000,32,105453907,410.9977,0.4109977
4690000,32,105730155,409.84709999999995,0.4098471
4700000,32,105995440,411.67879999999997,0.4116788
4710000,32,106266751,408.2826,0.40828260000000005
4720000,32,106528709,411.731,0.411731
4730000,32,106802306,408.58279999999996,0.4085828
4740000,32,107091982,409.0173,0.40901730000000003
4750000,32,107376044,419.26619999999997,0.41926620000000003
4760000,32,107640529,411.1911,0.41119110000000003
4770000,32,107918178,417.21909999999997,0.4172191
4780000,32,108194640,417.5703,0.4175703
4790000,32,108475941,416.414,0.416414
4800000,32,108755833,415.9847,0.41598470000000004
4810000,32,109028720,425.43359999999996,0.4254336
4820000,32,109292222,421.6696,0.42166960000000003
4830000,32,109572713,420.3282,0.42032820000000004
4840000,32,109842248,423.7206,0.4237206
4850000,32,110133635,421.7274,0.42172740000000003
4860000,32,110394289,452.2174,0.45221740000000005
4870000,32,110688207,456.498,0.456498
4880000,32,110941977,430.0487,0.4300487
